ACC_X,ACC_Y,ACC_Z,PPG
24044,31380,33644,12043
25144,31208,33596,12037
25956,31192,33488,12035
26788,31652,33216,12041
27596,31808,33316,12055
27980,31592,33624,12074
27120,31276,33716,12098
25604,30912,34264,12117
24472,30812,34284,12136
21976,30448,34856,12138
20520,29792,35416,12132
23000,30296,35524,12131
22736,29892,36144,12154
23504,30952,34392,12169
23428,30660,35192,12170
24180,29884,34748,12162
25228,29508,34456,12164
25844,29500,34384,12166
25984,29824,34500,12177
26020,29904,34756,12184
26104,29924,34804,12189
25980,29700,35112,12193
25200,29444,35400,12198
24180,29568,35864,12197
22840,29784,36156,12193
20780,29732,36356,12189
22552,30688,35796,12187
24312,30636,35444,12192
23992,30444,35096,12193
22516,30208,34824,12195
21720,30784,34720,12173
23144,31564,34304,12143
24812,31496,34012,12117
26084,31492,33652,12105
26704,31428,33552,12108
26996,31420,33692,12108
27632,31508,33696,12121
27916,31528,33840,12142
27124,31116,34220,12162
26036,30836,34312,12181
24336,29836,33784,12187
21424,29124,34976,12186
20684,30332,35560,12180
23116,31304,34052,12202
21828,30452,35484,12238
22424,30872,34492,12262
23068,30416,34480,12279
24156,30144,34648,12287
25676,29064,34192,12278
26440,28776,34080,12265
26496,29376,34652,12264
26188,30148,34932,12261
25980,30244,35096,12259
25560,29808,35128,12260
24416,29628,35672,12262
23668,29996,35940,12257
23228,30452,36172,12250
22332,30540,36300,12252
22868,31160,36216,12261
23636,31192,35260,12268
22456,30480,35220,12270
22168,30300,35172,12262
23256,30504,34660,12259
24676,30908,34340,12255
25924,31204,34016,12247
26704,31340,33684,12230
27160,31440,33516,12222
27560,31388,33476,12229
26120,30876,33852,12246
24372,30708,34180,12266
22824,30396,34192,12276
20904,30028,34568,12274
23340,30212,35032,12264
24936,30320,36012,12263
23748,30780,35480,12277
23376,31216,34552,12308
23600,30292,35196,12319
24928,29472,35128,12337
26040,29564,34936,12349
26376,30148,34948,12361
25888,30492,35012,12375
25596,30572,35372,12383
25936,30240,35420,12387
25128,29540,35904,12379
23876,29856,36032,12371
22744,30244,36036,12355
21220,30152,36248,12348
22004,30672,35980,12338
23640,30832,35468,12331
23352,30604,35016,12323
22592,30772,34872,12320
23072,30860,34472,12314
24136,30872,34120,12307
25252,30972,33740,12305
26176,31204,33576,12303
26940,31524,33544,12309
27736,31732,33588,12316
28180,31548,33712,12331
27388,31136,34080,12357
25848,30724,34560,12386
23980,30620,34688,12396
21828,30384,35092,12391
21172,30336,35632,12374
22836,30652,36032,12365
23064,29680,36300,12380
24044,31060,34580,12407
24192,30360,35128,12424
24428,29928,34924,12438
25360,29624,34920,12457
26380,29760,34912,12464
26720,29992,34960,12475
